Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,time,Date,Time,Weekday,Sentiment_encode,Sentiment_Category
published new blog post check,Positive,2023-01-17 15:15:00,BloggerX,Instagram,"['#Blogging', '#NewPost']",22.0,45.0,USA,2023,1,17,15,2023-01-17 15:15:00,2023-01-17,15:15:00,1,146,positif
feeling bit weather today,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,"['#SickDay', '#Health']",7.0,15.0,Canada,2023,1,18,10,2023-01-18 10:30:00,2023-01-18,10:30:00,2,134,neutre
exploring city hidden gem,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,"['#CityExplore', '#HiddenGems']",12.0,25.0,UK,2023,1,18,14,2023-01-18 14:50:00,2023-01-18,14:50:00,2,146,négatif
new year new fitness goal,Positive,2023-01-18 18:00:00,FitJourney,Instagram,"['#NewYear', '#FitnessGoals']",28.0,55.0,USA,2023,1,18,18,2023-01-18 18:00:00,2023-01-18,18:00:00,2,146,positif
technology changing way live,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,"['#Tech', '#Innovation']",15.0,30.0,India,2023,1,19,9,2023-01-19 09:45:00,2023-01-19,09:45:00,3,135,positif
reflecting past looking ahead,Positive,2023-01-19 13:20:00,Reflections,Facebook,"['#Reflection', '#Future']",20.0,40.0,USA,2023,1,19,13,2023-01-19 13:20:00,2023-01-19,13:20:00,3,146,négatif
adopted cute furry friend,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,"['#PetAdoption', '#FurryFriend']",15.0,30.0,Canada,2023,1,19,17,2023-01-19 17:10:00,2023-01-19,17:10:00,3,146,positif
latenight gaming session friend,Positive,2023-01-20 00:05:00,GamerX,Twitter,"['#Gaming', '#LateNight']",18.0,35.0,UK,2023,1,20,0,2023-01-20 00:05:00,2023-01-20,00:05:00,4,146,neutre
attending virtual conference ai,Neutral,2023-01-20 11:30:00,TechConference,Facebook,"['#AI', '#TechConference']",25.0,50.0,USA,2023,1,20,11,2023-01-20 11:30:00,2023-01-20,11:30:00,4,135,neutre
winter blue got feeling low,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,"['#WinterBlues', '#Mood']",8.0,15.0,USA,2023,1,20,15,2023-01-20 15:15:00,2023-01-20,15:15:00,4,134,neutre
sipping coffee enjoying good book,Positive,2023-01-21 08:40:00,Bookworm,Twitter,"['#Reading', '#CoffeeTime']",22.0,45.0,India,2023,1,21,8,2023-01-21 08:40:00,2023-01-21,08:40:00,5,146,positif
exploring world virtual reality,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,"['#VR', '#VirtualReality']",15.0,30.0,USA,2023,1,21,13,2023-01-21 13:20:00,2023-01-21,13:20:00,5,146,neutre
productive day ticking todo list,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,"['#Productivity', '#WorkFromHome']",30.0,60.0,USA,2023,1,21,16,2023-01-21 16:45:00,2023-01-21,16:45:00,5,146,neutre
finished challenging workout routine,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,"['#Fitness', '#ChallengeAccepted']",20.0,40.0,UK,2023,1,22,9,2023-01-22 09:15:00,2023-01-22,09:15:00,6,146,positif
celebrating milestone work,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,"['#Career', '#Milestone']",12.0,25.0,Canada,2023,1,22,14,2023-01-22 14:30:00,2023-01-22,14:30:00,6,146,neutre
sunday brunch friend,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,"['#Brunch', '#Friends']",15.0,30.0,UK,2023,1,22,12,2023-01-22 12:00:00,2023-01-22,12:00:00,6,146,neutre
learning new language personal growth,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,"['#LanguageLearning', '#PersonalGrowth']",25.0,50.0,India,2023,1,23,16,2023-01-23 16:20:00,2023-01-23,16:20:00,0,146,positif
quiet evening good book,Positive,2023-01-23 19:45:00,BookLover,Instagram,"['#Reading', '#QuietTime']",15.0,30.0,Australia,2023,1,23,19,2023-01-23 19:45:00,2023-01-23,19:45:00,0,146,positif
reflecting importance mental health,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,"['#MentalHealth', '#SelfCare']",22.0,45.0,USA,2023,1,24,11,2023-01-24 11:30:00,2023-01-24,11:30:00,1,146,négatif
new painting progress,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,"['#Art', '#PaintingInProgress']",12.0,25.0,Canada,2023,1,24,15,2023-01-24 15:00:00,2023-01-24,15:00:00,1,146,positif
weekend road trip explore scenic view,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,"['#RoadTrip', '#ScenicViews']",18.0,35.0,UK,2023,1,24,17,2023-01-24 17:30:00,2023-01-24,17:30:00,1,146,neutre
enjoying cup tea watching sunset,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,"['#TeaTime', '#Sunset']",15.0,30.0,India,2023,1,25,18,2023-01-25 18:00:00,2023-01-25,18:00:00,2,146,positif
coding new project enthusiasm,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,"['#Coding', '#Enthusiasm']",30.0,60.0,USA,2023,1,25,13,2023-01-25 13:15:00,2023-01-25,13:15:00,2,146,positif
feeling inspired attending workshop,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,"['#Inspiration', '#Workshop']",25.0,50.0,USA,2023,1,26,9,2023-01-26 09:45:00,2023-01-26,09:45:00,3,146,neutre
winter sport day local park,Positive,2023-01-26 14:20:00,WinterSports,Twitter,"['#WinterSports', '#Fun']",15.0,30.0,Canada,2023,1,26,14,2023-01-26 14:20:00,2023-01-26,14:20:00,3,146,neutre
quality time family weekend,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,"['#FamilyTime', '#Weekend']",22.0,45.0,UK,2023,1,26,17,2023-01-26 17:40:00,2023-01-26,17:40:00,3,146,neutre
attending live music concert tonight,Positive,2023-01-27 20:00:00,MusicLover,Instagram,"['#Music', '#ConcertNight']",18.0,35.0,USA,2023,1,27,20,2023-01-27 20:00:00,2023-01-27,20:00:00,4,146,positif
practicing mindfulness meditation,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,"['#Mindfulness', '#Meditation']",15.0,30.0,India,2023,1,27,12,2023-01-27 12:30:00,2023-01-27,12:30:00,4,146,neutre
trying new dessert recipe,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,"['#Dessert', '#Cooking']",12.0,25.0,Canada,2023,1,27,16,2023-01-27 16:10:00,2023-01-27,16:10:00,4,146,positif
excited upcoming gaming tournament,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,"['#Gaming', '#Tournament']",30.0,60.0,USA,2023,1,28,9,2023-01-28 09:00:00,2023-01-28,09:00:00,5,146,positif
planning garden makeover spring,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,"['#Gardening', '#Spring']",25.0,50.0,USA,2023,1,28,14,2023-01-28 14:45:00,2023-01-28,14:45:00,5,146,neutre
celebrating friend birthday tonight,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,"['#Birthday', '#Celebration']",15.0,30.0,UK,2023,1,28,19,2023-01-28 19:30:00,2023-01-28,19:30:00,5,146,neutre
feeling accomplished productive day,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,"['#Accomplished', '#Success']",22.0,45.0,India,2023,1,29,17,2023-01-29 17:00:00,2023-01-29,17:00:00,6,146,positif
cozy evening good movie,Positive,2023-01-29 20:20:00,MovieNight,Twitter,"['#CozyNight', '#MovieTime']",18.0,35.0,Canada,2023,1,29,20,2023-01-29 20:20:00,2023-01-29,20:20:00,6,146,positif
exploring local art gallery weekend,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,"['#Art', '#GalleryExplore']",15.0,30.0,USA,2023,1,30,11,2023-01-30 11:30:00,2023-01-30,11:30:00,0,146,neutre
new book release favorite author,Positive,2023-01-30 15:45:00,BookwormX,Instagram,"['#BookRelease', '#FavoriteAuthor']",12.0,25.0,UK,2023,1,30,15,2023-01-30 15:45:00,2023-01-30,15:45:00,0,146,positif
attending virtual reality meetup,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,"['#VRMeetup', '#VirtualReality']",28.0,55.0,India,2023,1,30,18,2023-01-30 18:30:00,2023-01-30,18:30:00,0,146,neutre
reflecting beauty nature,Positive,2023-01-31 10:45:00,NatureLover,Facebook,"['#Nature', '#Reflection']",15.0,30.0,Australia,2023,1,31,10,2023-01-31 10:45:00,2023-01-31,10:45:00,1,146,neutre
cooking special dinner loved one,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,"['#Cooking', '#SpecialDinner']",20.0,40.0,USA,2023,1,31,19,2023-01-31 19:00:00,2023-01-31,19:00:00,1,146,positif
feeling optimistic week ahead,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,"['#Optimism', '#NewWeek']",15.0,30.0,Canada,2023,1,31,16,2023-01-31 16:20:00,2023-01-31,16:20:00,1,146,neutre
starting new fitness challenge tomorrow,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,"['#FitnessChallenge', '#NewBeginnings']",22.0,45.0,UK,2023,2,1,8,2023-02-01 08:00:00,2023-02-01,08:00:00,2,146,positif
sunday bike ride scenic trail,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,"['#BikeRide', '#ScenicTrails']",18.0,35.0,USA,2023,2,1,13,2023-02-01 13:30:00,2023-02-01,13:30:00,2,146,neutre
cant believe injustice happening society,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,"['#Injustice', '#Angry']",20.0,40.0,Canada,2023,2,11,9,2023-02-11 09:30:00,2023-02-11,09:30:00,5,10,neutre
feeling sense fear watching thriller movie,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,"['#Fear', '#ThrillerMovie']",15.0,30.0,USA,2023,2,11,21,2023-02-11 21:15:00,2023-02-11,21:15:00,5,79,neutre
heartbroken hearing news natural disaster,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,"['#Sadness', '#NaturalDisaster']",25.0,50.0,India,2023,2,12,14,2023-02-12 14:45:00,2023-02-12,14:45:00,6,164,positif
state world environment disgusting,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,"['#Disgust', '#Environment']",18.0,35.0,UK,2023,2,12,18,2023-02-12 18:20:00,2023-02-12,18:20:00,6,56,négatif
pure happiness celebrating loved one achievement,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,"['#Happiness', '#Celebration']",30.0,60.0,USA,2023,2,13,10,2023-02-13 10:00:00,2023-02-13,10:00:00,0,92,positif
laughter best medicineenjoying comedy show,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,"['#Joy', '#ComedyShow']",22.0,45.0,Canada,2023,2,13,19,2023-02-13 19:30:00,2023-02-13,19:30:00,0,116,positif
sharing love positive vibe everyone,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,"['#Love', '#SpreadLove']",15.0,30.0,Australia,2023,2,14,8,2023-02-14 08:30:00,2023-02-14,08:30:00,1,124,positif
amusing incident brightened day,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,"['#Amusement', '#FunTimes']",18.0,35.0,UK,2023,2,14,14,2023-02-14 14:20:00,2023-02-14,14:20:00,1,9,positif
enjoying quiet evening book tea,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,"['#Enjoyment', '#BookTime']",25.0,50.0,Canada,2023,2,14,19,2023-02-14 19:45:00,2023-02-14,19:45:00,1,70,positif
admiring beauty nature peaceful hike,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,"['#Admiration', '#Nature']",20.0,40.0,USA,2023,2,15,11,2023-02-15 11:30:00,2023-02-15,11:30:00,2,2,positif
sending affectionate vibe follower,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,"['#Affection', '#PositiveVibes']",15.0,30.0,USA,2023,2,15,16,2023-02-15 16:00:00,2023-02-15,16:00:00,2,6,neutre
experiencing awe breathtaking sunset,Awe,2023-02-15 20:30:00,AweStruck,Facebook,"['#Awe', '#Breathtaking']",22.0,45.0,Australia,2023,2,15,20,2023-02-15 20:30:00,2023-02-15,20:30:00,2,17,positif
disappointed service local restaurant,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,"['#Disappointed', '#BadService']",18.0,35.0,India,2023,2,16,9,2023-02-16 09:00:00,2023-02-16,09:00:00,3,54,négatif
surprise gift friend made day,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,"['#Surprise', '#Gift']",25.0,50.0,USA,2023,2,16,14,2023-02-16 14:45:00,2023-02-16,14:45:00,3,174,neutre
finding acceptance midst life challenge,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,"['#Acceptance', '#Challenges']",15.0,30.0,Canada,2023,2,16,18,2023-02-16 18:20:00,2023-02-16,18:20:00,3,0,neutre
overflowing adoration adorable pet,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,"['#Adoration', '#PetLove']",22.0,45.0,UK,2023,2,17,10,2023-02-17 10:45:00,2023-02-17,10:45:00,4,3,positif
anticipating thrilling adventure coming week,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,"['#Anticipation', '#Adventure']",20.0,40.0,USA,2023,2,17,7,2023-02-17 07:30:00,2023-02-17,07:30:00,4,11,positif
bitter experience turned valuable lesson,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,"['#BitterLesson', '#Growth']",18.0,35.0,USA,2023,2,17,15,2023-02-17 15:00:00,2023-02-17,15:00:00,4,20,négatif
finding calmness midst busy day,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,"['#Calmness', '#PeacefulMind']",15.0,30.0,India,2023,2,18,9,2023-02-18 09:30:00,2023-02-18,09:30:00,5,26,positif
confusion cloud mind navigate decision,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,"['#Confusion', '#DecisionMaking']",25.0,50.0,UK,2023,2,18,14,2023-02-18 14:20:00,2023-02-18,14:20:00,5,37,neutre
excitement building upcoming vacation,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,"['#Excitement', '#TravelPlans']",22.0,45.0,Canada,2023,2,18,18,2023-02-18 18:45:00,2023-02-18,18:45:00,5,76,neutre
kindness witnessed today restored faith humanity,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,"['#Kindness', '#Humanity']",20.0,40.0,USA,2023,2,19,11,2023-02-19 11:30:00,2023-02-19,11:30:00,6,119,neutre
pride achieving personal milestone,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,"['#Pride', '#Milestone']",30.0,60.0,Australia,2023,2,19,16,2023-02-19 16:00:00,2023-02-19,16:00:00,6,149,neutre
moment shame standing injustice,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,"['#Shame', '#Injustice']",15.0,30.0,India,2023,2,19,19,2023-02-19 19:45:00,2023-02-19,19:45:00,6,167,neutre
fuming anger heated argument,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,"['#Anger', '#Argument']",20.0,40.0,Canada,2023,2,20,9,2023-02-20 09:30:00,2023-02-20,09:30:00,0,10,négatif
fear unknown keeping night,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,"['#Fear', '#Unknown']",15.0,30.0,USA,2023,2,20,21,2023-02-20 21:15:00,2023-02-20,21:15:00,0,79,négatif
heartfelt sadness bidding farewell dear friend,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,"['#Sadness', '#Farewell']",25.0,50.0,India,2023,2,21,14,2023-02-21 14:45:00,2023-02-21,14:45:00,1,164,neutre
state corruption society utterly disgusting,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,"['#Disgust', '#Corruption']",18.0,35.0,UK,2023,2,21,18,2023-02-21 18:20:00,2023-02-21,18:20:00,1,56,négatif
overflowing happiness welcoming new family member,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,"['#Happiness', '#NewFamilyMember']",30.0,60.0,UK,2023,2,22,10,2023-02-22 10:00:00,2023-02-22,10:00:00,2,92,positif
laughter key joyattending standup comedy show,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,"['#Joy', '#StandUpComedy']",22.0,45.0,Canada,2023,2,22,19,2023-02-22 19:30:00,2023-02-22,19:30:00,2,116,neutre
sending love follower beautiful day,Love,2023-02-23 08:30:00,LoveSender,Twitter,"['#Love', '#SpreadLove']",15.0,30.0,Australia,2023,2,23,8,2023-02-23 08:30:00,2023-02-23,08:30:00,3,124,positif
amused antic petits pure amusement,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,"['#Amusement', '#PetAntics']",18.0,35.0,UK,2023,2,23,14,2023-02-23 14:20:00,2023-02-23,14:20:00,3,9,positif
enjoying every moment trippure enjoyment,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,"['#Enjoyment', '#Travel']",25.0,50.0,USA,2023,2,23,19,2023-02-23 19:45:00,2023-02-23,19:45:00,3,70,positif
admiring dedication volunteer local charity,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,"['#Admiration', '#Volunteers']",20.0,40.0,USA,2023,2,24,11,2023-02-24 11:30:00,2023-02-24,11:30:00,4,2,neutre
sending affectionate vibe friend family,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,"['#Affection', '#FamilyLove']",15.0,30.0,USA,2023,2,24,16,2023-02-24 16:00:00,2023-02-24,16:00:00,4,6,neutre
awestruck beauty night sky,Awe,2023-02-24 20:30:00,Stargazer,Facebook,"['#Awe', '#StarryNight']",22.0,45.0,Australia,2023,2,24,20,2023-02-24 20:30:00,2023-02-24,20:30:00,4,17,neutre
disappointed lack progress personal project,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,"['#Disappointed', '#Project']",18.0,35.0,India,2023,2,25,9,2023-02-25 09:00:00,2023-02-25,09:00:00,5,54,négatif
surprise visit old friend brought tear joy,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,"['#Surprise', '#OldFriends']",25.0,50.0,USA,2023,2,25,14,2023-02-25 14:45:00,2023-02-25,14:45:00,5,174,positif
embracing acceptance life ups down,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook,"['#Acceptance', '#LifeJourney']",15.0,30.0,Canada,2023,2,25,18,2023-02-25 18:20:00,2023-02-25,18:20:00,5,0,négatif
overflowing adoration cute rescue puppy,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,"['#Adoration', '#PuppyLove']",22.0,45.0,UK,2023,2,26,10,2023-02-26 10:45:00,2023-02-26,10:45:00,6,3,positif
anticipating release muchawaited movie,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,"['#Anticipation', '#MovieRelease']",20.0,40.0,Australia,2023,2,26,7,2023-02-26 07:30:00,2023-02-26,07:30:00,6,11,neutre
bitter experience customer service department,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook,"['#BitterExperience', '#CustomerService']",18.0,35.0,USA,2023,2,26,15,2023-02-26 15:00:00,2023-02-26,15:00:00,6,20,négatif
finding calmness amidst chaos daily life,Calmness,2023-02-27 09:30:00,CalmSoul,Twitter,"['#Calmness', '#InnerPeace']",15.0,30.0,India,2023,2,27,9,2023-02-27 09:30:00,2023-02-27,09:30:00,0,26,neutre
confusion reign try make sense recent event,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,"['#Confusion', '#MakingSense']",25.0,50.0,UK,2023,2,27,14,2023-02-27 14:20:00,2023-02-27,14:20:00,0,37,neutre
excitement building surprise birthday party,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook,"['#Excitement', '#SurpriseParty']",22.0,45.0,Canada,2023,2,27,18,2023-02-27 18:45:00,2023-02-27,18:45:00,0,76,neutre
witnessed act kindness made day,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter,"['#Kindness', '#ActsOfKindness']",20.0,40.0,USA,2023,2,28,11,2023-02-28 11:30:00,2023-02-28,11:30:00,1,119,neutre
pride completing challenging fitness challenge,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,"['#Pride', '#FitnessChallengeCompleted']",30.0,60.0,UK,2023,2,28,16,2023-02-28 16:00:00,2023-02-28,16:00:00,1,149,positif
moment shame speaking injustice,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,"['#Shame', '#Injustice']",15.0,30.0,India,2023,2,28,19,2023-02-28 19:45:00,2023-02-28,19:45:00,1,167,neutre
reflecting beauty diversity world,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,"['#Acceptance', '#Diversity']",22.0,45.0,Australia,2023,3,1,10,2023-03-01 10:45:00,2023-03-01,10:45:00,2,0,neutre
excitement quiet evening good book,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,"['#Excitement', '#BookTime']",18.0,35.0,USA,2023,3,1,13,2023-03-01 13:30:00,2023-03-01,13:30:00,2,76,positif
feeling bitter unfairness workplace,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter,"['#Bitter', '#Unfairness']",15.0,30.0,Canada,2023,3,1,17,2023-03-01 17:45:00,2023-03-01,17:45:00,2,20,négatif
calmness prevails practice mindfulness,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,"['#Calmness', '#Mindfulness']",15.0,30.0,UK,2023,3,2,18,2023-03-02 18:00:00,2023-03-02,18:00:00,3,26,neutre
confusion surround navigate life choice,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,"['#Confusion', '#LifeChoices']",30.0,60.0,USA,2023,3,2,13,2023-03-02 13:15:00,2023-03-02,13:15:00,3,37,neutre
excitement weekend road trip explore new place,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter,"['#Excitement', '#WeekendAdventure']",25.0,50.0,India,2023,3,2,16,2023-03-02 16:45:00,2023-03-02,16:45:00,3,76,positif
kindness witnessed today restores faith humanity,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook,"['#Kindness', '#HumanityRestored']",22.0,45.0,USA,2023,3,3,11,2023-03-03 11:30:00,2023-03-03,11:30:00,4,119,neutre
pride accomplishing personal professional goal,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,"['#Pride', '#Accomplishments']",12.0,25.0,Canada,2023,3,3,14,2023-03-03 14:30:00,2023-03-03,14:30:00,4,149,positif
shame true value difficult situation,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,"['#Shame', '#Integrity']",15.0,30.0,UK,2023,3,3,12,2023-03-03 12:00:00,2023-03-03,12:00:00,4,167,négatif
revisiting old memory feeling sense elation,Elation,2010-05-15 15:30:00,NostalgiaFan,Twitter,"['#Elation', '#Memories']",20.0,40.0,Canada,2010,5,15,15,2010-05-15 15:30:00,2010-05-15,15:30:00,5,60,positif
victory team brought euphoria city,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram,"['#Euphoria', '#Victory']",15.0,30.0,USA,2021,8,10,21,2021-08-10 21:15:00,2021-08-10,21:15:00,1,75,neutre
embracing beauty nature moment contentment,Contentment,2011-06-20 14:45:00,NatureLover2,Facebook,"['#Contentment', '#Nature']",25.0,50.0,India,2011,6,20,14,2011-06-20 14:45:00,2011-06-20,14:45:00,0,40,neutre
meditating serene lake finding inner peace,Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter,"['#Serenity', '#Meditation']",18.0,35.0,UK,2022,2,12,18,2022-02-12 18:20:00,2022-02-12,18:20:00,5,166,neutre
overflowing gratitude life blessing,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,"['#Gratitude', '#Blessed']",30.0,60.0,Australia,2012,11,25,10,2012-11-25 10:00:00,2012-11-25,10:00:00,6,90,neutre
hopeful brighter tomorrow despite challenge,Hope,2013-04-05 19:30:00,OptimisticSoul,Facebook,"['#Hope', '#Optimism']",22.0,45.0,USA,2013,4,5,19,2013-04-05 19:30:00,2013-04-05,19:30:00,4,100,neutre
empowered make difference community,Empowerment,2014-09-14 08:30:00,CommunityLeader,Twitter,"['#Empowerment', '#Community']",15.0,30.0,UK,2014,9,14,8,2014-09-14 08:30:00,2014-09-14,08:30:00,6,66,neutre
compassion action supporting local charity event,Compassion,2015-07-18 14:20:00,CharitySupporter,Instagram,"['#Compassion', '#CharityEvent']",18.0,35.0,Canada,2015,7,18,14,2015-07-18 14:20:00,2015-07-18,14:20:00,5,33,positif
moment tenderness connecting loved one,Tenderness,2016-02-23 19:45:00,LovingHeart,Facebook,"['#Tenderness', '#FamilyTime']",25.0,50.0,UK,2016,2,23,19,2016-02-23 19:45:00,2016-02-23,19:45:00,1,177,positif
arousal excitement await special announcement,Arousal,2017-10-30 11:30:00,ExcitementFan,Twitter,"['#Arousal', '#Excitement']",20.0,40.0,Australia,2017,10,30,11,2017-10-30 11:30:00,2017-10-30,11:30:00,0,15,positif
enthusiastically diving new project,Enthusiasm,2018-06-15 16:00:00,ProjectEnthusiast,Instagram,"['#Enthusiasm', '#NewProject']",15.0,30.0,USA,2018,6,15,16,2018-06-15 16:00:00,2018-06-15,16:00:00,4,71,positif
feeling sense fulfillment reaching milestone,Fulfillment,2019-03-28 18:20:00,MilestoneAchiever,Facebook,"['#Fulfillment', '#Milestone']",22.0,45.0,India,2019,3,28,18,2019-03-28 18:20:00,2019-03-28,18:20:00,3,87,neutre
reverence beauty historic landmark,Reverence,2019-11-11 15:00:00,HistoryLover,Twitter,"['#Reverence', '#History']",18.0,35.0,UK,2019,11,11,15,2019-11-11 15:00:00,2019-11-11,15:00:00,0,159,neutre
